scenario_label,projection_horizon,species,center,mean,sd,q025,q975
SSP1-2.6 2041-2070,2041-2070,ERR_n,0.5197055507923953,0.520605661570225,0.00783450279297438,0.5087327675419916,0.533486034634951
SSP1-2.6 2041-2070,2041-2070,ERS_n,0.3305568461772451,0.33256418222504347,0.01288445060157869,0.31383622366912794,0.35291461297545346
SSP1-2.6 2041-2070,2041-2070,BOJ_n,0.3854633195159761,0.3864548043645292,0.00860722130649678,0.3739295566607191,0.4044926635212893
SSP1-2.6 2041-2070,2041-2070,BOP_n,0.5928085668870654,0.5963944386176989,0.00960548623929524,0.5807138413149502,0.615503363755995
SSP1-2.6 2041-2070,2041-2070,EPB_n,0.46952819529027223,0.4704223026267585,0.00928953198876417,0.455660936231349,0.4861894930067778
SSP1-2.6 2041-2070,2041-2070,SAB_n,0.7704376241617388,0.7706807066725921,0.00787310236470345,0.7569954254928716,0.7865319547699138
SSP1-2.6 2041-2070,2041-2070,EPN_n,0.343682957844402,0.34351122900148734,0.00666607184906863,0.3325549459890317,0.3541022529464618
SSP1-2.6 2041-2070,2041-2070,THO_n,0.30539819846322563,0.3039912585997383,0.00956964162300443,0.28702651085483655,0.320070018943861
SSP1-2.6 2041-2070,2041-2070,PRP_n,0.11769480617160576,0.11759493628959757,0.00860545774093464,0.10303605912470384,0.1353515455213535
SSP1-2.6 2041-2070,2041-2070,PET_n,0.28353907146263346,0.2818022404527061,0.01035552841982044,0.26075307097495803,0.2983354436536706
SSP1-2.6 2041-2070,2041-2070,PIB_n,0.15019435890205762,0.15066885998012824,0.00903518375930526,0.1355347959518569,0.16714914731119326
SSP1-2.6 2041-2070,2041-2070,MEL_n,0.04035660214017961,0.04063028900337662,0.0037398511578645,0.034041671684372,0.04724962428554717
SSP1-2.6 2041-2070,2041-2070,PIG_n,0.06174883767455387,0.06158046078672311,0.00422018672605478,0.05433648215557704,0.06768365167859888
SSP1-2.6 2071-2100,2071-2100,ERR_n,0.510612554121706,0.509398741957806,0.00921765669343415,0.491202132771438,0.5251119390689728
SSP1-2.6 2071-2100,2071-2100,ERS_n,0.3232386553732266,0.32483784240647223,0.00921710156668792,0.3097255216833798,0.34188498232798087
SSP1-2.6 2071-2100,2071-2100,BOJ_n,0.37741906068009734,0.3773193478347975,0.01019221867033966,0.3578605762927146,0.39294256890256374
SSP1-2.6 2071-2100,2071-2100,BOP_n,0.5950694946288384,0.5942938696316574,0.00794031547126306,0.5797484340388939,0.6073451550289004
SSP1-2.6 2071-2100,2071-2100,EPB_n,0.4672518706923776,0.4685701585093413,0.01153982949745007,0.4526766829590761,0.4903286554559031
SSP1-2.6 2071-2100,2071-2100,SAB_n,0.7688297684688383,0.7695329159342831,0.00560691229190031,0.7609587736192662,0.781509131410844
SSP1-2.6 2071-2100,2071-2100,EPN_n,0.3476906214106035,0.3489071534300475,0.00885529230144905,0.33332171769384655,0.3626618101379361
SSP1-2.6 2071-2100,2071-2100,THO_n,0.2930031072305289,0.2906635649977896,0.01497604186516489,0.26115917771942726,0.3161674311463704
SSP1-2.6 2071-2100,2071-2100,PRP_n,0.11877011722396752,0.11731432280334364,0.00870540891426281,0.10259346357958292,0.13402825305582186
SSP1-2.6 2071-2100,2071-2100,PET_n,0.2814260311992247,0.2797738473066379,0.01218068432946784,0.260327172333191,0.3009529341451858
SSP1-2.6 2071-2100,2071-2100,PIB_n,0.14312628435996963,0.14361264386112613,0.01116823204957435,0.12484839812838192,0.16084689522131002
SSP1-2.6 2071-2100,2071-2100,MEL_n,0.0393126676104278,0.03869604834830038,0.00385429782397381,0.03359319140196394,0.04495799054041506
SSP1-2.6 2071-2100,2071-2100,PIG_n,0.06362770053440409,0.06373471674609067,0.00406457285595406,0.05734755971552615,0.07039146259152843
SSP2-4.5 2011-2040,2011-2040,ERR_n,0.4075299281166877,0.4072280785364586,0.00618990519595117,0.3957213918167383,0.4170387234249432
SSP2-4.5 2011-2040,2011-2040,ERS_n,0.2454271705531832,0.24551271983407577,0.0057453617825048,0.23736635114612392,0.25566619995758666
SSP2-4.5 2011-2040,2011-2040,BOJ_n,0.29175050723804086,0.2915389391015158,0.00665898619314393,0.28100663872545617,0.3031331986952215
SSP2-4.5 2011-2040,2011-2040,BOP_n,0.5599209130645486,0.5596750456769268,0.00612609989384979,0.548881266380185,0.5706244669437583
SSP2-4.5 2011-2040,2011-2040,EPB_n,0.4239831750570242,0.4250188046595664,0.00694477040983929,0.41398585372550945,0.4386749682751033
SSP2-4.5 2011-2040,2011-2040,SAB_n,0.7355160930321647,0.7351855196972419,0.00498092242887972,0.7252459069973783,0.7427838259530883
SSP2-4.5 2011-2040,2011-2040,EPN_n,0.4318090721297475,0.4325637022282265,0.00812870072673082,0.41951937815246026,0.4450087438228045
SSP2-4.5 2011-2040,2011-2040,THO_n,0.2094497013290872,0.20953082876591503,0.0078897392563019,0.19246830218194896,0.22354288475681344
SSP2-4.5 2011-2040,2011-2040,PRP_n,0.09457286770617046,0.09351604691928447,0.00550303436942637,0.08424309900059102,0.10337918098215568
