index,center,mean,sd,q025,q975,log_center,log_mean,log_sd,log_q025,log_q975,gCenter,gMean,gSD,gQ025,gQ975,bCenter,bMean,bSD,bQ025,bQ975,wCenter,wMean,wSD,wQ025,wQ975,scenario_label,projection_horizon,community_prefix,community_label,dominant_codes,secondary_codes,community_desc
summary,NA,NA,NA,NA,NA,-2.4664336384226297,-2.465321201627967,0.04385142708723634,-2.5446277935290924,-2.378403395153863,0.08488716386631528,0.08506110837663809,0.003771592625204936,0.07850227200028233,0.09272752516887993,0.46032999469040153,0.46002516524991904,0.003304328030555196,0.45285689959140374,0.46652536100267733,0.46032999469040153,0.46002516524991904,0.003304328030555196,0.45285689959140374,0.46652536100267733,SSP1-2.6 2011-2040,2011-2040,FE3,Sugar Maple - Yellow Birch Forest,,,Sugar Maple - Yellow Birch Forest
summary,NA,NA,NA,NA,NA,-3.222248829871067,-3.219066524726924,0.038018818988638486,-3.292900235036826,-3.14685382206319,0.039865315281863045,0.040020372115723145,0.0015261527548190413,0.037146218173841956,0.042989755072305305,0.32254477600571363,0.32284571484897057,0.003210440698539329,0.3182239504694654,0.32891213026755134,0.32254477600571363,0.3228457148489706,0.003210440698539334,0.3182239504694654,0.32891213026755134,SSP1-2.6 2011-2040,2011-2040,FE6,Sugar Maple - Red Oak Forest,,,Sugar Maple - Red Oak Forest
summary,NA,NA,NA,NA,NA,-1.3998326476328047,-1.401639998046657,0.042377274845496374,-1.4987003462336155,-1.3221572077670998,0.24663842678857645,0.24640640700193917,0.010432536661429105,0.22342199877170288,0.26662151259451816,0.4911432864834227,0.49210738209930327,0.0038824560191331337,0.4862448794297711,0.499113143633801,0.4911432864834227,0.49210738209930327,0.0038824560191331337,0.4862448794297711,0.499113143633801,SSP1-2.6 2011-2040,2011-2040,ME1,Black Spruce - Trembling Aspen Forest,,,Black Spruce - Trembling Aspen Forest
summary,NA,NA,NA,NA,NA,-1.4516930626624323,-1.4562496106063907,0.02640960312011529,-1.5064882770074037,-1.4136392442651304,0.23417348190178555,0.2331872178818622,0.006128050122046933,0.22169664418976853,0.2432572062217318,0.5340508014663294,0.5344196925839294,0.003473958490141635,0.5286659559751731,0.539665652053788,0.5340508014663294,0.5344196925839294,0.003473958490141635,0.5286659559751731,0.539665652053788,SSP1-2.6 2011-2040,2011-2040,MS6,Balsam Fir - Red Maple Forest,,,Balsam Fir - Red Maple Forest
summary,NA,NA,NA,NA,NA,-2.612009845974754,-2.615617900371909,0.041854972486052786,-2.699510234985884,-2.524389763358988,0.07338691255115218,0.07318438663931866,0.0030546482697274926,0.06724704854887756,0.08010788717343849,0.4281589256575229,0.42787500585290544,0.0032046043321737284,0.4219890032056406,0.4329014955459611,0.4281589256575229,0.42787500585290544,0.0032046043321737284,0.4219890032056406,0.4329014955459611,SSP1-2.6 2011-2040,2011-2040,MS1,Balsam Fir - Yellow Birch Forest,,,Balsam Fir - Yellow Birch Forest
summary,NA,NA,NA,NA,NA,-1.3308251108724418,-1.3250494254360707,0.048710942244358436,-1.4241454394383761,-1.2341389103378941,0.264259383218534,0.2660931452649966,0.012865199763581312,0.2407621435499416,0.29108823238203485,0.538494707634128,0.5390927422604852,0.0035941743677130327,0.5337040749974028,0.546544404716721,0.538494707634128,0.5390927422604852,0.0035941743677130327,0.5337040749974028,0.546544404716721,SSP1-2.6 2011-2040,2011-2040,MS2,Balsam Fir - Paper Birch Forest,,,Balsam Fir - Paper Birch Forest
summary,NA,NA,NA,NA,NA,-2.2306605090616927,-2.230913300834963,0.05958888940490966,-2.3160479604378046,-2.136390578173697,0.10745747773487963,0.10761522858073269,0.006435718817837843,0.09866306505063172,0.1180805914208592,0.4505613402741394,0.451006933862929,0.00315247491392045,0.4467879447985166,0.4583427335834064,0.4505613402741394,0.451006933862929,0.00315247491392045,0.4467879447985166,0.4583427335834064,SSP1-2.6 2011-2040,2011-2040,RE2,Black Spruce - Moss or Heath Forest,,,Black Spruce - Moss or Heath Forest
summary,NA,NA,NA,NA,NA,-2.6140711316460807,-2.632732456414825,0.10993320199077541,-2.832969668557009,-2.4737485316056596,0.07323585251436089,0.07229477969336517,0.0077372921001366435,0.05890143406579814,0.08431358123147824,0.3561046331171664,0.3553902462985746,0.003870432488840376,0.3487006109714751,0.36065336146363913,0.3561046331171664,0.3553902462985746,0.003870432488840376,0.3487006109714751,0.36065336146363913,SSP1-2.6 2011-2040,2011-2040,RC3,Peaty Eastern White Cedar - Balsam Fir Forest,,,Peaty Eastern White Cedar - Balsam Fir Forest
summary,NA,NA,NA,NA,NA,-2.654665823238181,-2.651240749147164,0.05886303766615299,-2.750949418859017,-2.5544850108946484,0.07032253709671685,0.0706822236942747,0.004180741537755155,0.06386812330872,0.0777508590930581,0.3571883557843245,0.35773252517950355,0.004449830516383747,0.3507340605066033,0.36495040435407056,0.3571883557843245,0.35773252517950355,0.004449830516383746,0.3507340605066033,0.36495040435407056,SSP1-2.6 2011-2040,2011-2040,RP1,White or Red Pine Forest,,,White or Red Pine Forest
summary,NA,NA,NA,NA,NA,-1.3308251108724418,-1.3250494254360707,0.048710942244358436,-1.4241454394383761,-1.2341389103378941,0.264259383218534,0.2660931452649966,0.012865199763581312,0.2407621435499416,0.29108823238203485,0.538494707634128,0.5390927422604852,0.0035941743677130327,0.5337040749974028,0.546544404716721,0.538494707634128,0.5390927422604852,0.0035941743677130327,0.5337040749974028,0.546544404716721,SSP1-2.6 2011-2040,2011-2040,RS2,Balsam Fir - Black Spruce Forest,,,Balsam Fir - Black Spruce Forest
